"from","to","Integrated Gradients","Saliency"
"COPB1","GOLGB1",0,0
"COPB1","SPTA1",0,0
"CPB2","AGT",0,0
"CPB2","C5",0.01,0
"CPD","AP1B1",0,0
"CPD","SORT1",0,0
"CPD","AP4E1",0,0
"CPD","PUM1",0,0
"CPSF3","HNRNPM",0,0
"CPSF3","SCARA3",0,0
"CPSF6","HNRNPM",0,0
"CPSF6","KHSRP",0,0
"CPT1A","JUN",0,0
"CPT2","CHD9",0,0
"CR2","CD19",0,0
"CREB3L3","MBTPS1",0,0
"CREB3L3","CREB3L1",0,0
"CREB5","JUN",0,0
"CREBBP","E2F1",0,0
"CREBBP","ABCB4",0,0
"CREBBP","CPT2",0,0
"CREBBP","FDFT1",0,0
"CREBBP","PLIN2",0,0
"CREBBP","GRIP1",0,0
"CREBBP","CABIN1",0,0
"CREBBP","GRHL1",0,0
"CREBBP","TIAM2",0,0
"CREM","JUN",0,0
"CRHR1","ADCYAP1R1",0,0
"CRMP1","DPYSL3",0,0
"CRNKL1","CHERP",0,0
"CROT","UBC",0,0
"CSE1L","XPO1",0,0
"CSF1R","ITGAM",0,0
"CSF2RB","JAK3",0,0
"CSF3R","JAK2",0,0
"CSNK2A1","TOP2A",0,0
"CSNK2A1","NCAPD2",0,0
"CSNK2A1","NFATC1",0,0
"CSPG4","ITGA4",0,0
"CSTF3","HNRNPM",0,0
"CTCF","HIST2H2BE",0,0
"CTNNBL1","CHERP",0,0
"CTSA","PRKCD",0,0
"CUX1","STAT1",0,0
"CWC22","CHERP",0,0
"CX3CR1","LPAR1",0,0
"CXCR4","PDYN",0,0
"CYFIP1","WASF2",0,0
"CYFIP2","CYFIP1",0,0
"CYP4A11","CHD9",0,0
"CYTH4","RHOA",0,0
"DAAM1","RHOA",0,0
"DAB2","SYNJ2",0,0
"DAB2IP","MAP3K5",0,0
"DBH","DDC",0,0
"DCC","BCAR1",0,0
"DCTN1","SPTBN2",0,0
"DDX17","ESR1",0,0
"DDX20","NUP153",0,0
"DDX21","POLR1B",0,0
"DDX23","HNRNPM",0,0
"DDX23","SRPK2",0,0
"DDX31","GNL2",0,0
"DDX42","CPSF1",0,0
"DDX46","CHERP",0,0
"DDX5","HNRNPM",0,0
"DDX5","GATA3",0,0
"DDX5","CARM1",0,0
"DDX5","FOXA1",0,0
"DDX5","KAT2B",0,0
"DECR1","PRKCB",0,0
"DECR1","DUOX1",0,0
"DEF6","RHOA",0,0
"DEK","POLR1B",0,0
"DENND1A","DENND1B",0,0
"DHX15","POLR1B",0,0
"DHX38","HNRNPM",0,0
"DHX8","PRPF8",0,0
"DIAPH1","RHOA",0,0
"DLC1","TNS3",0,0
"DLG1","LLGL2",0,0
"DLG2","GRIN2B",0,0
"DLGAP5","MKI67",0,0
"DLGAP5","MELK",0,0
"DLGAP5","CKAP2",0,0
"DLGAP5","DEPDC1",0,0
"DLGAP5","E2F8",0,0
"DLGAP5","HJURP",0,0
"DLGAP5","ANLN",0,0
"DLGAP5","SPAG5",0,0
"DLGAP5","TACC3",0,0
"DLGAP5","NOTCH3",0,0
"DLL1","EPS15",0,0
"DMP1","CHGB",0,0
"DNAH1","CLIP1",0,0
"DNAH17","DNAH1",0,0
"DNAH3","CLIP1",0,0
"DNAH3","DNAH1",0,0
"DNAH3","DNAH2",0,0
"DNAH3","DNAH17",0,0
"DNAH3","DNAH8",0,0
"DNAH3","DNAH6",0,0
"DNAH3","DNAH7",0,0
"DNAH6","CLIP1",0,0
"DNAH7","DNAH1",0,0
"DNAH8","CLIP1",0,0
"DNAJB4","HSPA8",0,0
"DNAJC2","HSPA8",0,0
"DNAJC6","AP2B1",0,0
"DNASE2","AP1B1",0,0
"DNASE2","AP1G1",0,0
"DNM1","AP2B1",0,0
"DNM3","AP2B1",0,0
"DNMT3A","SMARCC2",0,0
"DOCK1","SYK",0,0
"DOCK2","CYFIP1",0,0
"DOCK3","NTRK2",0,0
"DOCK7","MET",0,0
"DOK1","INSR",0.01,0.03
"DOK1","FCER1A",0,0
"DOK1","BLK",0,0
"DOK2","JAK3",0,0
"DPYSL5","DPYSL3",0,0
"DRD2","OPRM1",0.01,0
"DSC1","DSC2",0,0
"DSC2","DSG4",0.14,0
"DSCAM","DCC",0.03,0
"DSG1","DSC2",0,0
"DSG3","DSG1",0,0
"DSN1","MAN2B1",0,0
"DSP","TCHH",0,0
"DTX1","DLL1",0,0
"DTX1","DTX2",0,0
"DTX2","UBC",0,0
"DYNC2H1","NEK1",0,0
"E2F1","TNRC6B",0,0
"E2F1","ETS2",0,0
"ECD","ZNF274",0,0
"ECHDC1","ACSS3",0,0
"ECT2","TOP2A",0,0
"EDNRA","HRH1",0,0
"EED","JUN",0,0
"EED","PHF19",0,0
"EED","JARID2",0,0
"EFTUD2","CHERP",0,0
"EGF","AP2B1",0,0
"EGF","IQSEC1",0,0
"EGF","ZFYVE28",0,0
"EGF","DIAPH1",0,0
"EGF","IPCEF1",0,0
"EGFR","SHC4",0,0
"EGR1","NFATC2",0,0
"EGR1","NFATC3",0,0
"EHHADH","NRIP1",0,0
"EHHADH","ACOX3",0,0
"EHHADH","IVD",0,0
"EHHADH","MCCC1",0,0
"EHHADH","CPT1A",0,0
"EHHADH","NOS2",0,0
"EHHADH","ACOX1",0,0
"EHHADH","HAO1",0,0
"EHHADH","CROT",0,0
"EHHADH","BAAT",0,0
"EHHADH","NUDT7",0,0
"EHHADH","ABAT",0,0
"EHHADH","ACOX2",0,0
"EHHADH","HSD17B4",0,0
"EHHADH","PPARA",0,0
"EHHADH","PPARGC1A",0,0
"EHHADH","AOX1",0,0
"EHHADH","HADHB",0,0
"EHHADH","LONP2",0,0
"EHHADH","ACOT4",0,0
"EHHADH","GNPAT",0,0
"EIF2AK3","HSPA5",0,0
"ELAVL1","CHERP",0,0
"ELL","INTS2",0,0
"ELL2","INTS2",0,0
"ELL3","INTS2",0,0
"ENAM","SERPINA1",0,0
"ENPP1","PGM2",0,0
"ENPP1","PANK4",0,0
"EP400","CCNE2",0,0
"EPAS1","ARNT",0,0
"EPB41L1","EPB41L3",0,0
"EPB41L3","CNTNAP2",0,0
"EPB41L5","EPB41L3",0,0
"EPB41L5","NLGN2",0,0
"EPB41L5","NLGN1",0,0
"EPC1","TRRAP",0,0
"EPHA1","EPHA7",0,0
"EPHA2","BCAR1",0,0
"EPHA7","LYN",0,0
"EPHB1","AP2B1",0,0
"EPHB2","AP2B1",0,0
"EPHB3","AP2B1",0,0
"EPHB4","AP2B1",0,0
"EPHB6","AP2B1",0,0
"EPN1","AP2B1",0,0
"EPS15","AP2B1",0,0
"ERBB2","GRB7",0,0
"ERBB2","ARHGEF11",0,0
"ERBB4","GRIN2B",0,0
"ERCC2","POLR1B",0,0
"ERCC3","POLR1B",0,0
"ERCC5","ERCC6",0,0
"ESPL1","ZWILCH",0,0
"ESPL1","NIPBL",0,0
"ESR2","ESR1",0,0
"ESRRG","NRIP1",0,0
"ETS2","JUN",0,0
"EVC","GLI3",0,0
"EVC2","GLI3",0,0
"EXOSC9","TBL3",0,0
"EXT1","SDC1",0.02,0.04
"EZH1","BAP1",0,0
"EZH2","E2F1",0,0
"F13A1","ITGA4",0,0
"F2R","HRH1",0,0
"F5","SEC13",0,0
"FAF1","PTPN13",0,0
"FAF2","NPLOC4",0,0
"FAF2","UBXN7",0,0
"FAM13A","RHOA",0,0
"FANCG","BRCA2",0,0
"FANCM","TOP3B",0,0
"FANCM","POLN",0,0
"FANCM","RECQL4",0,0
"FASN","SREBF1",0,0
"FBL","POLR1B",0,0
"FBL","WDR75",0,0
"FBL","WDR3",0,0
"FBL","PWP2",0,0
"FBL","XRN2",0,0
"FBL","EXOSC9",0,0
"FBL","RRP9",0,0
"FBL","UTP20",0,0
"FBL","DDX17",0,0
"FBL","TBL3",0,0
"FBL","UTP15",0,0
"FBL","PDCD11",0,0
